Transfer,Treatment,Binned_Number,Total_Cells
20,GALSET,101-204,215
24,YPD,1-2,691
24,YPD,3-5,1012
24,YPD,6-9,107
24,YPD,10-19,26
24,YPD,20-29,0
24,YPD,30-39,0
24,YPD,40-49,0
24,YPD,50-100,0
24,YPD,101-204,0
24,YPDSET,1-2,609
24,YPDSET,3-5,974
24,YPDSET,6-9,439
24,YPDSET,10-19,349
24,YPDSET,20-29,143
24,YPDSET,30-39,66
24,YPDSET,40-49,0
24,YPDSET,50-100,0
24,YPDSET,101-204,0
24,GAL,1-2,509
24,GAL,3-5,1696
24,GAL,6-9,286
24,GAL,10-19,254
24,GAL,20-29,0
24,GAL,30-39,0
24,GAL,40-49,0
24,GAL,50-100,0
24,GAL,101-204,0
24,GALSET,1-2,444
24,GALSET,3-5,889
24,GALSET,6-9,809
24,GALSET,10-19,1403
24,GALSET,20-29,838
24,GALSET,30-39,560
24,GALSET,40-49,218
24,GALSET,50-100,996
24,GALSET,101-204,217
28,YPD,1-2,763
28,YPD,3-5,877
28,YPD,6-9,71
28,YPD,10-19,0
28,YPD,20-29,0
28,YPD,30-39,0
28,YPD,40-49,0
28,YPD,50-100,0
28,YPD,101-204,0
28,YPDSET,1-2,576
28,YPDSET,3-5,832
28,YPDSET,6-9,588
28,YPDSET,10-19,635
28,YPDSET,20-29,276
28,YPDSET,30-39,69
28,YPDSET,40-49,0
28,YPDSET,50-100,54
28,YPDSET,101-204,0
28,GAL,1-2,481
28,GAL,3-5,1722
28,GAL,6-9,303
28,GAL,10-19,221
28,GAL,20-29,23
28,GAL,30-39,0
28,GAL,40-49,0
28,GAL,50-100,0
28,GAL,101-204,0
28,GALSET,1-2,435
28,GALSET,3-5,985
28,GALSET,6-9,833
28,GALSET,10-19,1339
28,GALSET,20-29,734
28,GALSET,30-39,168
28,GALSET,40-49,182
28,GALSET,50-100,1293
28,GALSET,101-204,657
